#Bragalli, D'Ambrosio, Lee, Lodi, Toth (2008)
#PARAMETERS' DEFINITION FOR THE BLACKSBURG NETWORK

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure

param: nodes:     E                D               P           pmax :=
 	1        652.578941  	0.00328762     	   30           62.99   		
 	2        649.835732  	0.00319109     	   30	        65.73        	
 	3        646.482921  	0.00162583     	   30	        69.09        	
 	4        656.388954  	0.00087317     	   30	        59.18        	
 	5        652.731342  	0.00338478     	   30	        62.84        	
 	6        648.921329  	0.00326365     	   30	        66.65        	
 	7        648.311727     0.01265459    	   30           67.26     		
 	8        648.311727  	0.00071607     	   30           67.26     		
 	9        642.977710  	0.00067948     	   30           72.59     		
 	10       646.482921  	0.00328762     	   30           69.09     		
 	11       651.969339  	0.00635758     	   30           63.60     		
 	12       643.130110  	0.00171037     	   30           72.44     		
 	13       651.207337  	0.00635758     	   30           64.36     		
 	14       653.188543  	0.00162583     	   30           62.38     		
 	15       653.493344  	0.00325166     	   30           61.92     		
 	16       655.017349  	0.00328762     	   30           60.55     		
 	17       642.825309  	0.00065487     	   30           72.74     		
 	18       653.493344  	0.00653928     	   30           62.08     		
 	19       655.169750  	0.00328762     	   30           60.40     		
 	20       652.274140  	0.00069147     	   30           63.29     		
 	21       652.731342  	0.00323967     	   30           62.84     		
 	22       653.493344  	0.00074005	   30           62.08     		
 	23       657.303357  	0.00325166     	   30           58.27     		
 	24       663.856578  	0.00646673     	   30           51.71     		
 	25       645.568518  	0.00323166     	   30           70.00    		
 	26       639.929700  	0.00331223     	   30           75.64   		
 	27       640.691702  	0.00321507     	   30           74.88  		
 	28       639.624899  	0.00161384     	   30           75.94 		
 	29       646.178120  	0.00264473     	   30           69.39		
 	30       647.092523  	0.00323967     	   30           68.48 #;

#tanks
        0        715.56     0                  56.28        56.28 ;
      

#Pipe's parameters: start node, end node, length, maximum velocity

param: arcs:                    L               vmax:=
0               1          415.443763            2           	
0               4           59.131394            2           	
1               2          558.395432            2           	
1               8           46.024951            2           	
2               3          270.663288            2           	
2               11          47.244155            2           	
2               13          94.183509            2           	
3               17         213.055899            2           	
3               18         350.825951            2           	
4               5          334.671498            2           	
5               6          176.174978            2           	
5               21         186.233411            2           	
6               7           28.956095            2           	
7               8          127.711619            2           	
7               29          63.398608            2           	
8               30          33.528110            2           	
9               10         137.465251            2           	
9               12          17.983259            2           	
9               25         126.797216            2           	
11              15          92.354703            2           	
12              11         250.851223            2           	
13              14         233.477566            2           	
14              23         116.433982            2           	
15              16         231.039158            2           	
15              17         307.544209            2           	
18              19         124.358808            2           	
18              24         359.969981            2           	
21              20          34.442513            2           	
22              13         213.665501            2           	
23              22         106.985151            2           	
24              19         294.742567            2           	
26              9           82.601071            2           	
26              27          96.621917            2           	
26              28         129.235624            2           	
29              26         222.504730            2 ;           	


param d_min := 0.0254001; # minimum diameter (should match the minimum discrete diameter)
param d_max := 0.6096024; # maximum diameter (should match the maximum discrete diameter)
#param d:= 0.0005;   # DO NOT CHANGE
#param p:=1.852;      # DO NOT CHANGE
set Source:= 0 ;  # source nodes

#Diameter's parameters: diameter, cost 

param: pipes:             d                C          R:=
1			0.0254001	0.524955627    120
2			0.0508002	2.099822507    120 
3			0.0762003	4.724600641    120 
4			0.1016004	8.399290029    120 
5			0.1524006	18.89840256    120 
6			0.2032008	33.59716011    120 
7			0.2540010	52.49556268    120 
8			0.3048012	75.59361026    120 
9			0.3556014	102.8913029    120 
10			0.4064016	134.3886405    120 
11			0.4572018	170.0856231    120 
12			0.5080020	209.9822507    120 
13			0.5588022	254.0785234    120 
14			0.6096024	302.3744410    120  ;

param: fixarcs:       fixdiam           fix_r   fix_c:=
5         21         0.1524006          120     18.89840256 
9         10         0.1524006          120     18.89840256 
9         25         0.1524006          120     18.89840256 
11        15         0.3048012          120     75.59361026
13        14         0.2032008          120     33.59716011 
15        16         0.2540010          120     52.49556268 
22        13         0.1524006          120     18.89840256
23        22         0.1524006          120     18.89840256
24        19         0.1524006          120     18.89840256
26        27         0.1524006          120     18.89840256
26        28         0.1524006          120     18.89840256
29        26         0.1524006          120     18.89840256;

