###########################################################################################
# PARAMETERS' DEFINITION FOR THE FOSSOLO NETWORK from
# "On the Optimal Design of Water Distribution Networks: a Practical MINLP Approach"
# by Cristiana Bragalli, Claudia D'Ambrosio, Jon Lee, Andrea Lodi, Paolo Toth
# Optimization and Engineering, 2011
###########################################################################################
# Cristiana Bragalli, DISTART, University of Bologna, cristiana.bragalli@unibo.it
# Claudia D'Ambrosio, DEIS, University of Bologna, c.dambrosio@unibo.it
# Jon Lee, IBM T.J. Watson Research Center, jonlee@us.ibm.com
# Andrea Lodi, DEIS, University of Bologna, andrea.lodi@unibo.it
# Paolo Toth, DEIS, University of Bologna, paolo.toth@unibo.it
###########################################################################################

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure

param: nodes:  E              D          P           pmax :=
 1               	65.15       	0.00049    	     40             55.85
 2               	64.4        	0.00104    	     40             56.6
 3               	63.35       	0.00102    	     40             57.65
 4               	62.5        	0.00081    	     40             58.5
 5               	61.24       	0.00063    	     40             59.76
 6               	65.4        	0.00079    	     40             55.6
 7               	67.9        	0.00026    	     40             53.1
 8               	66.5        	0.00058    	     40             54.5
 9               	66          	0.00054    	     40             55.0
 10              	64.17       	0.00111    	     40             56.83
 11              	63.7        	0.00175    	     40             57.3
 12              	62.64       	0.00091    	     40             58.36
 13              	61.9        	0.00116    	     40             59.1
 14              	62.6        	0.00054    	     40             58.4
 15              	63.5        	0.00110    	     40             57.5
 16              	64.3        	0.00121    	     40             56.7
 17              	65.5        	0.00127    	     40             55.5
 18              	64.1        	0.00202    	     40             56.9
 19              	62.9        	0.00188    	     40             58.1
 20              	62.83       	0.00093    	     40             58.17
 21              	62.8        	0.00096    	     40             58.2
 22              	63.9        	0.00097   	     40             57.1
 23              	64.2        	0.00086   	     40             56.8
 24              	67.5        	0.00067    	     40             53.5
 25              	64.40       	0.00077  	     40             56.6
 26              	63.4        	0.00169    	     40             57.6
 27              	63.9        	0.00142    	     40             57.1
 28              	65.65       	0.00030    	     40             55.35
 29              	64.5        	0.00062    	     40             56.5
 30              	64.1        	0.00054    	     40             56.9
 31              	64.4        	0.00090    	     40             56.6
 32              	64.2        	0.00103    	     40             56.8
 33              	64.6        	0.00077    	     40             56.4
 34              	64.7        	0.00074    	     40             56.3
 35              	65.43       	0.00116    	     40             55.57
 36              	65.9        	0.00047              40             55.1
 37              	 121.0     	0.0                 121.0          121.0;

#Pipe's parameters: start node, end node, length, roughness coefficient, maximum velocity

param: arcs:                     	 L               vmax    :=
 1               17              	132.76           1.0
17                2               	374.68           1.0
 2                3               	119.74           1.0
 3                4               	312.72           1.0
 4                5               	289.09           1.0
 5                6               	336.33           1.0
 6                7               	135.81           1.0
 7               24              	201.26           1.0
24                8               	132.53           1.0
 8               28              	144.66           1.0
28                9               	175.72           1.0
 9               36              	112.17           1.0
36                1               	210.74           1.0
 1               31              	 75.41           1.0
31               10              	181.42           1.0
10               11              	146.96           1.0
11               19              	162.69           1.0
19               12              	 99.64           1.0
12                4               	 52.98           1.0
 2               18              	162.97           1.0
18               10              	 83.96           1.0
10               32              	 49.82           1.0
32               27              	 78.5            1.0
27               16              	 99.27           1.0
16               25              	 82.29           1.0
25                8               	147.49           1.0
 3               11              	197.32           1.0
11               26              	 83.3            1.0
26               15              	113.8            1.0
15               22              	 80.82           1.0
22                7               	340.97           1.0
 5               13              	 77.39           1.0
13               14              	112.37           1.0
14               20              	 37.34           1.0
20               15              	108.85           1.0
15               16              	182.82           1.0
16               29              	136.02           1.0
29               30              	 56.7            1.0
30                9               	124.08           1.0
17               18              	234.6            1.0
12               13              	203.83           1.0
19               20              	248.05           1.0
14               21              	 65.19           1.0
21                6               	210.09           1.0
21               22              	147.57           1.0
22               23              	103.8            1.0
24               23              	210.95           1.0
23               25              	 75.08           1.0
26               27              	180.29           1.0
28               29              	149.05           1.0
29               33              	215.05           1.0
32               33              	144.44           1.0
33               34              	 34.74           1.0
31               34              	 59.93           1.0
34               35              	165.67           1.0
30               35              	119.97           1.0
35               36              	 83.17           1.0 
37                1               	  1.0            1.0 ;

#param dmin := 0.060; # minimum diameter (should match the minimum discrete diameter)
#param dmax := 0.300; # maximum diameter (should match the maximum discrete diameter)
#param d:= 0.00005;   # DO NOT CHANGE
#param p:=1.852;      # DO NOT CHANGE
set Source:= 37 ;  # source node

#Diameter's parameters: diameter, cost 

param: pipes:           d                C       R :=
 1			0.060		 6890	100 
 2			0.080		 9980	100
 3                      0.125           19210	100
 4			0.150		30100	100
 5			0.200		60790	100
 6			0.250		69790	100
 7			0.300	        110750 	100;
