###########################################################################################
# PARAMETERS' DEFINITION FOR THE FARHADGERD NETWORK
# Source: Table A1, A2, A3 (Farhadgerd water distribution network)
# 53 demand/junction nodes + 1 reservoir (node 0 = R-1)
# Node mapping: R-1=0, J-1=1, J-2=2, ..., J-53=53
# Demands converted from L/s to m^3/s (divided by 1000)
# Hazen-Williams C: 120 or 130 per pipe (see comments in arcs)
# Minimum pressure = 15 m above ground level at all demand nodes
# All pipe diameters are decision variables (no fixed existing pipes)
# Candidate diameters from Table A1

# paper link:  https://cdnsciencepub.com/doi/10.1139/cjce-2018-0137

###########################################################################################

param: nodes:         E             D                P              pmax :=
       1            479.0       0.0021037         20              0
       2            468.7       0.0033318         20              0
       3            466.5       0.0014227         20              0
       4            467.1       0.0005594         20              0
       5            469.0       0.0001581         20              0
       6            467.3       0.0012282         20              0
       7            469.2       0.0024685         20              0
       8            460.5       0.0003891         20              0
       9            461.3       0.0045357         20              0
      10            465.4       0.0009850         20              0
      11            476.3       0.0004621         20              0
      12            477.0       0.0006931         20              0
      13            455.8       0.0000000         20              0
      14            472.5       0.0001581         20              0
      15            478.7       0.0006688         20              0
      16            478.5       0.0005594         20              0
      17            475.5       0.0047546         20              0
      18            475.0       0.0002067         20              0
      19            480.0       0.0003162         20              0
      20            472.0       0.0013133         20              0
      21            456.2       0.0006931         20              0
      22            458.3       0.0012890         20              0
      23            446.3       0.0008147         20              0
      24            440.0       0.0005715         20              0
      25            445.4       0.0015200         20              0
      26            438.0       0.0027688         20              0
      27            441.0       0.0020076         20              0
      28            454.5       0.0009242         20              0
      29            458.0       0.0010336         20              0
      30            455.8       0.0012403         20              0
      31            437.0       0.0014462         20              0
      32            434.6       0.0009990         20              0
      33            430.0       0.0013035         20              0
      34            439.4       0.0003996         20              0
      35            433.3       0.0163083         20              0
      36            437.0       0.0011037         20              0
      37            455.6       0.0005594         20              0
      38            468.5       0.0103238         20              0
      39            472.7       0.0009850         20              0
      40            478.7       0.0009485         20              0
      41            486.0       0.0009971         20              0
      42            477.5       0.0003770         20              0
      43            473.3       0.0007053         20              0
      44            471.4       0.0021037         20              0
      45            455.8       0.0000000         20              0
      46            455.8       0.0000000         20              0
      47            440.0       0.0000000         20              0
      48            440.0       0.0000000         20              0
      49            431.2       0.0003140         20              0
      50            431.8       0.0001618         20              0
      51            462.8       0.0035872         20              0
      52            440.0       0.0000000         20              0
      53            454.5       0.0001000         20              0
       0            510.0       0.0000000        510.0          510.0 ;

# All pipes are design arcs — diameters are decision variables
# Format: J-in -> J-out, Length (m)
# C values noted in comments per Table A3
param: arcs:                             L      R    vmax:=
# P-1:  0  -> 1,   L=885.3851,  C=120
        0              1          885.3851       120    0       
# P-2:  1  -> 2,   L=328.5421,  C=120
        1              2          328.5421       120    0       
# P-3:  2  -> 3,   L=86.0021,   C=120
        2              3           86.0021       120    0   
# P-4:  3  -> 4,   L=195.1899,  C=120
        3              4          195.1899       120    0     
# P-5:  4  -> 5,   L=30.9500,   C=120
        4              5           30.9500      120     0 
# P-6:  5  -> 6,   L=68.4875,   C=130
        5              6           68.4875      130     0
# P-7:  6  -> 7,   L=563.0813,  C=130
        6              7          563.0813      130     0 
# P-8:  7  -> 8,   L=417.1908,  C=130
        7              8          417.1908      130     0 
# P-9:  8  -> 9,   L=416.8621,  C=120
        8              9          416.8621      120     0 
# P-10: 9  -> 4,   L=294.4953,  C=120
        9              4          294.4953      120     0 
# P-11: 7  -> 10,  L=367.3761,  C=130
        7             10          367.3761      130     0 
# P-12: 10 -> 11,  L=372.3605,  C=130
       10             11          372.3605      130     0 
# P-13: 11 -> 12,  L=147.7453,  C=130
       11             12          147.7453      130     0 
# P-16: 14 -> 15,  L=213.1492,  C=130
       14             15          213.1492      130     0 
# P-17: 15 -> 16,  L=233.7499,  C=130
       15             16          233.7499      130     0 
# P-18: 14 -> 17,  L=315.1370,  C=130
       14             17          315.1370      130     0 
# P-19: 17 -> 18,  L=247.3020,  C=130
       17             18          247.3020      130     0 
# P-20: 18 -> 19,  L=155.8379,  C=130
       18             19          155.8379      130     0 
# P-21: 19 -> 20,  L=138.7134,  C=130
       19             20          138.7134      130     0 
# P-22: 20 -> 5,   L=302.7770,  C=130
       20              5          302.7770      130     0 
# P-23: 9  -> 21,  L=202.5051,  C=130
        9             21          202.5051      130     0 
# P-25: 22 -> 3,   L=421.6994,  C=130
       22              3          421.6994      130     0 
# P-26: 21 -> 23,  L=451.5464,  C=130
       21             23          451.5464      130     0 
# P-27: 23 -> 24,  L=94.9841,   C=130.013
       23             24           94.9841      130.013     0 
# P-28: 24 -> 25,  L=138.8879,  C=130
       24             25          138.8879      130     0 
# P-29: 25 -> 22,  L=381.8934,  C=130.013
       25             22          381.8934      130.013     0 
# P-33: 28 -> 25,  L=388.1121,  C=130
       28             25          388.1121      130     0 
# P-34: 28 -> 29,  L=348.5208,  C=130
       28             29          348.5208      130     0 
# P-35: 29 -> 30,  L=125.7833,  C=120
       29             30          125.7833      120     0 
# P-37: 31 -> 32,  L=333.0668,  C=130
       31             32          333.0668      130     0 
# P-39: 33 -> 34,  L=286.3284,  C=130
       33             34          286.3284      130     0 
# P-40: 34 -> 35,  L=436.9019,  C=130
       34             35          436.9019      130     0 
# P-41: 35 -> 36,  L=437.3994,  C=130
       35             36          437.3994      130     0 
# P-42: 36 -> 26,  L=359.4174,  C=130
       36             26          359.4174      130     0 
# P-43: 30 -> 37,  L=141.5928,  C=130
       30             37          141.5928      130     0 
# P-44: 37 -> 38,  L=667.3086,  C=130
       37             38          667.3086      130     0 
# P-45: 38 -> 39,  L=242.5379,  C=120
       38             39          242.5379      120     0 
# P-46: 39 -> 40,  L=229.1806,  C=130
       39             40          229.1806      130     0 
# P-48: 41 -> 42,  L=203.4631,  C=130
       41             42          203.4631      130     0 
# P-49: 42 -> 43,  L=100.3686,  C=130
       42             43          100.3686      130     0 
# P-50: 43 -> 29,  L=503.9709,  C=120
       43             29          503.9709      120     0 
# P-51: 38 -> 44,  L=385.2943,  C=130
       38             44          385.2943      130     0 
# P-57: 32 -> 49,  L=190.6523,  C=130
       32             49          190.6523      130     0 
# P-58: 49 -> 50,  L=208.6375,  C=130
       49             50          208.6375      130     0 
# P-59: 50 -> 33,  L=227.8588,  C=130
       50             33          227.8588      130     0 
# P-60: 34 -> 31,  L=278.1212,  C=120
       34             31          278.1212      120     0 
# P-61: 7  -> 14,  L=322.7427,  C=130
        7             14          322.7427      130     0 
# P-62: 12 -> 16,  L=193.8307,  C=130
       12             16          193.8307      130     0 
# P-63: 27 -> 35,  L=354.9940,  C=130
       27             35          354.9940      130     0 
# P-64: 2  -> 51,  L=342.1014,  C=130
        2             51          342.1014      130     0 
