param: nodes:   E       D      	        P       pmax:=       	
1             	62.48	0       	20      0            
2             	68.48	0.00108	        20      0     
3             	65.77	0.00089	        20      0     
4             	48.81	0.00076	        20      0     
5             	42.95	0.00037	        20      0     
6             	48.9	0.00111	        20      0     
7             	42.07	0.00082	        20      0     
8             	41.51	0.00042	        20      0     
9             	43.83	0.00024	        20      0     
10            	56.74	0.00048	        20      0     
11            	57.12	0.00033	        20      0     
12            	59.47	0.00035	        20      0     
13            	41.21	0.00063	        20      0     
14            	40.85	0.00141	        20      0     
15            	38.33	0.00113	        20      0     
16            	35.17	0.00082	        20      0     
17            	30.42	0.00058	        20      0     
18            	40.4	0.00068	        20      0     
19            	45.6	0.00061	        20      0     
20            	29.91	0.00035	        20      0     
21            	28.34	0.00118	        20      0     
22            	24.82	0.00111	        20      0     
23            	27.1	0.00063	        20      0     
24            	28.16	0.00139	        20      0     
25            	24.71	0.00011	        20      0     
26            	23.74	0.00011	        20      0     
27            	33.35	0.00096	        20      0     
28            	42.72	0.00165	        20      0     
29            	37.71	0.00056	        20      0     
30            	32.41	0.00087	        20      0     
31            	46.8	0.00068	        20      0     
32            	41.78	0.00078	        20      0     
33            	41.81	0.00106	        20      0     
34            	19.06	0.00052	        20      0     
35            	21.47	0.00013	        20      0     
36            	36.06	0.0002	        20      0     
37            	26.27	0.00018	        20      0     
38            	28.55	0.00033	        20      0     
39            	54.35	0.00065	        20      0     
40            	64.33	0.00028	        20      0     
41            	30.01	0.00039	        20      0     
42            	35.63	0.00039	        20      0     
43            	40.2	0.00089	        20      0     
44            	20.35	0.00013	        20      0     
45            	24.38	0.0002	        20      0     
46            	17.91	0.0003	        20      0     
47            	17.77	0.00018	        20      0     
48            	16.13	0.00026	        20      0     
49            	22.96	0.0003	        20      0     
50            	35.39	0.00017	        20      0     
51            	38.88	0.00061	        20      0     
52            	30.1	0.00039	        20      0     
53            	22.99	0.00022	        20      0     
54            	12.5	0.00032	        20      0     
55            	13.04	0.00074	        20      0     
56            	21.88	0.00039	        20      0     
57            	9.66	0.00926	        20      0     
0             	115     0.00        	0      0;

set Source:= 0;

param: arcs:                    L               vmax:=
0             	1             	110.05		0
1             	2             	328.45		0
2             	3             	189.89		0
3             	4             	162.62		0
4             	5             	124.41		0
5             	6             	90.2		0
2             	6             	185.66		0
7             	8             	128.02		0
8             	9             	55.75		0
9             	10            	184.53		0
11            	12            	192.75		0
12            	9             	107.31		0
12            	13            	53.15		0
13            	8             	55.39		0
13            	14            	209.84		0
15            	14            	229.49		0
15            	16            	70.45		0
16            	17            	83.92		0
17            	18            	145.64		0
14            	18            	71.05		0
18            	19            	102.99		0
16            	21            	147.35		0
21            	20            	100.94		0
20            	19            	144.56		0
17            	20            	127.29		0
21            	22            	186.12		0
22            	23            	187.81		0
23            	24            	124.19		0
24            	30            	139.08		0
30            	29            	135.02		0
24            	25            	144.5		0
26            	27            	219.46		0
27            	28            	134.6		0
28            	29            	190.18		0
29            	31            	166.4		0
31            	32            	145.19		0
32            	33            	53.16		0
33            	24            	189.83		0
34            	35            	92.25		0
35            	36            	100.29		0
36            	37            	107.16		0
36            	38            	97.48		0
38            	41            	68.08		0
41            	42            	42.52		0
42            	43            	128.01		0
42            	40            	183.96		0
39            	38            	230.45		0
34            	46            	83.85		0
35            	44            	88.5		0
44            	45            	88.66		0
45            	56            	79.61		0
56            	55            	174.45		0
46            	54            	182.84		0
54            	55            	53.81		0
54            	57            	226.02		0
46            	47            	180.29		0
47            	53            	144.6		0
53            	52            	138.57		0
52            	51            	133.2		0
52            	50            	135.76		0
50            	49            	141.1		0
49            	53            	162.27		0
49            	48            	140.17		0
48            	47            	176.91		0
10            	11            	83.92		0
40            	39            	73.94		0
22            	34            	363.63		0
7             	15            	194.97		0
5             	7             	62.38		0
25            	26            	55.94		0;
								

param: pipes:   d               C               R:=
1               0.025	        4.5             100
2               0.050	        15.8            100
3               0.080	        34.2            100
4               0.100	        66.48           100
5               0.125	        84.6            100
6               0.150	        146.8           100
7               0.200	        238.4           100;



