#F. Zheng, A.R. Simpson, A.C. Zecchin
#A combined NLP-differential evolution algorithm approach for the optimization of looped water distribution systems
#Water Resour. Res., 47 (8) (2011), p. W08531
###########################################################################################
#Node's parameters: elevation, water demand, minumum pressure, maximum pressure
param: nodes:         E             D                P              pmax :=
 1                6.5000      0.000289352      22         0
 2                6.5000      0.000394097      22         0
 3                6.5000      0.000381134      22         0
 4                6.5000      0.000353241      22         0
 5                6.5000      0.000849306      22         0
 6                6.5000      0.000647569      22         0
 7                6.5000      0.001387384      22         0
 8                6.5000      0.000327199      22         0
 9                6.5000      0.000464468      22         0
10                6.5000      0.000380324      22         0
11                6.5000      0.000602662      22         0
12                6.5000      0.000385185      22         0
13                6.5000      0.001435301      22         0
14                6.5000      0.000320255      22         0
15                6.5000      0.000712269      22         0
16                6.5000      0.000213542      22         0
17                6.5000      0.000846528      22         0
18                6.5000      0.000454167      22         0
19                6.5000      0.000152199      22         0
20                6.5000      0.000295833      22         0
21                6.5000      0.000995602      22         0
22                6.5000      0.000681713      22         0
23                6.5000      0.000490509      22         0
24                6.5000      0.000759722      22         0
25                6.5000      0.000669444      22         0
26                6.5000      0.000459954      22         0
27                6.5000      0.001186458      22         0
28                6.5000      0.000287037      22         0
29                6.5000      0.000275579      22         0
30                6.5000      0.000430324      22         0
31                6.5000      0.000466551      22         0
32                6.5000      0.000406713      22         0
33                6.5000      0.000579514      22         0
34                6.5000      0.000638773      22         0
35                6.5000      0.000507639      22         0
36                6.5000      0.000877431      22         0
37                6.5000      0.000436806      22         0
38                6.5000      0.000798727      22         0
39                6.5000      0.000259838      22         0
40                6.5000      0.000367245      22         0
41                6.5000      0.000685069      22         0
42                6.5000      0.000541898      22         0
43                6.5000      0.000390046      22         0
44                6.5000      0.000260764      22         0
45                6.5000      0.000255324      22         0
46                6.5000      0.000283681      22         0
47                6.5000      0.000244560      22         0
48                6.5000      0.000234606      22         0
49                6.5000      0.000426157      22         0
50                6.5000      0.000651620      22         0
51                6.5000      0.000684375      22         0
52                6.5000      0.000415046      22         0
53                6.5000      0.000330324      22         0
54                6.5000      0.000516782      22         0
55                6.5000      0.000212963      22         0
56                6.5000      0.000616204      22         0
57                6.5000      0.000401968      22         0
58                6.5000      0.000680671      22         0
59                6.5000      0.000902431      22         0
60                6.5000      0.000717014      22         0
61                6.5000      0.000817130      22         0
62                6.5000      0.000249537      22         0
63                6.5000      0.000198148      22         0
64                6.5000      0.000358912      22         0
65                6.5000      0.000248148      22         0
66                6.5000      0.000574421      22         0
67                6.5000      0.000355208      22         0
68                6.5000      0.000296065      22         0
69                6.5000      0.000179051      22         0
70                6.5000      0.000198843      22         0
71                6.5000      0.000366088      22         0
72                6.5000      0.000357639      22         0
73                6.5000      0.000193634      22         0
74                6.5000      0.000357523      22         0
75                6.5000      0.000400347      22         0
76                6.5000      0.001113657      22         0
77                6.5000      0.000343634      22         0
78                6.5000      0.000442477      22         0
79                6.5000      0.001141667      22         0
80                6.5000      0.000789699      22         0
81                6.5000      0.000524653      22         0
82                6.5000      0.001014005      22         0
83                6.5000      0.000323727      22         0
84                6.5000      0.000579167      22         0
85                6.5000      0.001105208      22         0
86                6.5000      0.001095602      22         0
87                6.5000      0.000928588      22         0
88                6.5000      0.000985764      22         0
89                6.5000      0.002841667      22         0
90                6.5000      0.000731944      22         0
91                6.5000      0.000347569      22         0
92                6.5000      0.000271991      22         0
93                6.5000      0.001543287      22         0
94                6.5000      0.000402315      22         0
95                6.5000      0.000636343      22         0
96                6.5000      0.000416204      22         0
97                6.5000      0.001003819      22         0
98                6.5000      0.000545255      22         0
99                6.5000      0.000418634      22         0
100               6.5000      0.000841204      22         0
101               6.5000      0.000453356      22         0
102               6.5000      0.000463426      22         0
