###########################################################################################

# ANYTOWN NETWORK

###########################################################################################

#Node's parameters: elevation, water demand, minimum pressure, maximum pressure

param: nodes:         E             D                P              pmax :=
   20            20         0.031545            30              0
   30            50         0.012618            30              0
   40            50         0.012618            30              0
   50            50         0.012618            30              0
   55            80         0.000000            30              0
   60            50         0.031545            30              0
   70            50         0.031545            30              0
   75            80         0.000000            30              0
   80            50         0.031545            30              0
   90            50         0.063090            30              0
  100            50         0.031545            30              0
  110            50         0.031545            30              0
  115            80         0.000000            30              0
  120           120         0.012618            30              0
  130           120         0.012618            30              0
  140            80         0.012618            30              0
  150           120         0.012618            30              0
  160           120         0.050472            30              0
  170           120         0.012618            30              0
  10            10          0.0	                0		0
  65            215         0.0	                0		0
  165           215         0.0	                0		0;

#Pipe's parameters: start node, end node, length, maximum velocity

param: arcs:                             L                vmax :=
20               70             12000             2.0
20               30             12000             2.0
20              110             12000             2.0
70               30              9000             2.0
70              100               600             2.0
70               90               600             2.0
70               60               600             2.0
90               60               600             2.0
60               80               600             2.0
90               80               600             2.0
90              150               600             2.0
90              100               600             2.0
100             150               600             2.0
150              80               600             2.0
60               30               600             2.0
30               40               600             2.0
30               50               600             2.0
40               50               600             2.0
50               80               600             2.0
80              140               600             2.0
150             140               600             2.0
150             160               600             2.0
100             160               600             2.0
100             110               600             2.0
110             160               600             2.0
110             120               600             2.0
120             160               600             2.0
120             130               600             2.0
130             160               600             2.0
130             170               600             2.0
160             140               600             2.0
170             140             12000             2.0
50              140             12000             2.0
140             115              6000             2.0
140              75              6000             2.0
115              75              6000             2.0
50               55              6000             2.0
55               75              6000             2.0
60               65               100             2.0
165             160               100             2.0 ;

set Source := 65 ;

param: pipes:       d                     C             R :=
   1           0.2032               23            120
   2           0.2540               32            120
   3           0.3048               50            120
   4           0.4064               90            120
   5           0.5080              170            130 ;

