#small network provided by Robert Sitzenfrei (robert.sitzenfrei@uibk.ac.at)
#cite as: Sitzenfrei et al (2022) Dual graph characteristics of water distribution networks - how optimal are design solutions? doi: xxx
#available diameters (mm): [3 4 6 8 10 12 14 16 18 20 22]*25.4      
#costs (€/m): [8 11 16 23 32 50 60 90 110 130 150]


param: nodes:   E       D      		P     	pmax:=         
	0	402.69	0.00008172	30	0
	1	402.69	0		30	0
	3	402.69	0.00004086	30	0
	4	402.69	0.00004086	30	0
	5	403.91	0.00036774	30	0
	6	405.43	0		30	0
	7	408.11	0		30	0
	10	402.69	0		30	0
	11	402.69	0		30	0
	12	402.69	0		30	0
	13	402.69	0		30	0
	14	405.69	0.00228816      30	0
	15	406.69	0		30	0
	16	402.69	0		30	0
	17	402.69	0		30	0
	18	402.69	0.00028602      30	0
	19	403.16	0		30	0
	20	403.33	0		30	0
	21	404.57	0		30	0
	22	406.02	0		30	0
	23	406.42	0		30	0
	24	402.69	0.00032688      30	0
	25	403.44	0		30	0
	26	403.35	0		30	0
	27	403.43	0		30	0
	28	405.69	0.00126666      30	0
	29	402.69	0		30	0
	30	402.69	0		30	0
	31	411.09	0.00012258      30	0
	32	411.09	0		30	0
	33	407.69	0.00004086	30	0
	34	407.69	0.00008172	30	0
	35	408.69	0.00012258	30	0
	36	410.56	0.00012258	30	0
	38	409.92	0.00004086	30	0
	39	404.69	0.00008172	30	0
	40	405.84	0.00004086	30	0
	41	406.09	0		30	0
	42	403.9	0.00004086	30	0
	43	403.69	0.00004086	30	0
	44	403.48	0.00008172	30	0
	45	403.48	0.00008172	30	0
	46	404.3	0.00004086	30	0
	47	404.33	0		30	0
	48	405.69	0.00004086	30	0
	49	406.69	0.00012258	30	0
	50	407.69	0.00008172	30	0
	51	410.14	0.00004086	30	0
	52	410.59	0.00004086	30	0
	53	411.77	0.00012258	30	0
	54	410.28	0		30	0
	55	407.28	0.00053118	30	0
	56	408.55	0.00004086	30	0
	57	409.69	0.00004086	30	0
	58	409.31	0.00004086	30	0
	59	403.84	0.00004086	30	0
	60	404.69	0.00012258	30	0
	61	405.69	0.00008172	30	0
	62	405.69	0.00004086	30	0
	63	403.03	0.00016344	30	0
	65	403.69	0.00004086	30	0
	66	403.69	0.00008172	30	0
	67	403.69	0.00024516	30	0
	68	405.61	0.00004086	30	0
	69	407.9	0.00004086	30	0
	70	405.36	0.00008172	30	0
	71	405.69	0.00004086	30	0
	72	407.22	0.00049032	30	0
	73	407.69	0.00008172	30	0
	74	407.84	0.00004086	30	0
	75	408.68	0.00004086	30	0
	76	407.35	0		30	0
	77	406.85	0.00024516	30	0
	78	410.46	0		30	0
	79	409.57	0.00024516	30	0
	80	411.69	0.00016344	30	0
	81	408.69	0.00004086	30	0
	82	413.92	0.0002043	30	0
	83	413.98	0.00008172	30	0
	84	412.69	0		30	0
	85	414.04	0.00008172	30	0
	86	414.64	0.00008172	30	0
	87	414.77	0.00004086	30	0
	88	415.69	0		30	0
	89	415.56	0.00008172	30	0
	90	416.24	0.00008172	30	0
	91	417.64	0.0028602	30	0
	92	418.69	0.00004086	30	0
	93	418.69	0.0002043	30	0
	94	415.69	0.00016344	30	0
	95	415.69	0		30	0
	96	413.94	0.00012258	30	0
	97	412.69	0.00008172	30	0
	98	411.69	0.00016344	30	0
	99	411.85	0.00004086	30	0
	100	412.42	0.00008172	30	0
	101	414.15	0.00012258	30	0
	102	413.99	0		30	0
	103	414.1	0.00024516	30	0
	104	416.14	0.00004086	30	0
	105	415.06	0.00016344	30	0
	106	416.02	0		30	0
	107	416.69	0.00016344	30	0
	108	417.69	0		30	0
	109	417.69	0		30	0
	110	418.95	0.00008172	30	0
	111	421.28	0.00008172	30	0
	112	421.69	0		30	0
	113	423.69	0.00004086	30	0
	114	425.51	0		30	0
	115	426.08	0		30	0
	116	426.47	0.00004086	30	0
	117	426.8	0.00032688	30	0
	118	420.62	0.00004086	30	0
	119	420.59	0.00004086	30	0
	120	421.63	0.00008172	30	0
	122	422.17	0.00008172	30	0
	123	422.35	0		30	0
	124	422.25	0		30	0
	125	422.09	0.00138924	30	0
	126	422.33	0.00004086	30	0
	127	425.45	0.00028602	30	0
	128	433.73	0.00044946	30	0
	129	434.26	0.00004086	30	0
	130	434.47	0.00008172	30	0
	131	438.69	0.00016344	30	0
	132	426.49	0.00028602	30	0
	133	417.69	0.00004086	30	0
	134	417.69	0.0006129	30	0
	135	417.21	0.00012258	30	0
	136	419.37	0.00004086	30	0
	137	426.69	0.00008172	30	0
	138	426.69	0.00012258	30	0
