
param: nodes:              	E        	D      P pmax:=	
 1             	111.9767081 	0.000          	        0       0			
 2             	112.3345493 	0.000          	        0       0			
 3              121.1107905 	0.000          	        0       0			
 4              114.4140771 	0.000          	        0       0			
 5              118.5751624 	0.000          	        0       0			
 6              122.5349305 	0.00015854896  	        0       0			
 7             	121.1519426 	0.000507356672 	        0       0			
 8             	113.6279958 	0.002885591071 	        0       0			
 9             	114.7471658 	0.002346524607 	        0       0			
 10             121.1704421 	0.002600202943 	        0       0			
 11             124.2994124 	0.001078132927 	        0       0			
 12             111.2380067 	0.001395230847 	        0       0			
 13             111.8527703 	0.000761035008 	        0       0			
 14             124.1455101 	0.000380517504 	        0       0			
 15             107.6377755 	0.00063419584  	        0       0			
 16             119.2705056 	0.001078132927 	        0       0			
 17             115.930969  	0.000761035008 	        0       0			
 18             120.0295086 	0.001078132927 	        0       0			
 19             109.9031425 	0.001902587519 	        0       0			
 20             107.371149  	0.00063419584  	        0       0			
 21             122.7995796 	0.002441653983 	        0       0			
 22             122.5033214 	0.00031709792  	        0       0			
 23             121.8901361 	0.000887874176 	        0       0			
 24             109.1904968 	0.000761035008 	        0       0			
 25             114.1359827 	0.001585489599 	        0       0			
 26             115.3484088 	0.0007927448   	        0       0			
 27             117.8208288 	0.002029426687 	        0       0			
 28             109.326126  	0.001204972095 	        0       0			
 29             106.013688  	0.001395230847 	        0       0			
 30             113.9824402 	0.000507356672 	        0       0			
 31             123.227886  	0.000856164384 	        0       0			
 32             124.3623443 	0.000031709792 	        0       0			
 33             121.9713736 	0.001870877727 	        0       0			
 34             118.6451216 	0.000887874176 	        0       0			
 35             116.411171  	0.001490360223 	        0       0			
 36             117.8177135 	0.001363521055 	        0       0			
 37             116.9711318 	0.000539066464 	        0       0			
 38             120.9961349 	0.00031709792  	        0       0			
 39             108.178794  	0.000887874176 	        0       0			
 40             115.729459  	0.00031709792  	        0       0			
 41             119.216174  	0.000380517504 	        0       0			
 42             115.8560663 	0.002156265855 	        0       0			
 43             107.0913833 	0.000031709792 	        0       0			
 44             119.8894593 	0.001046423135 	        0       0			
 45             105.3640216 	0.000528848864 	        0       0			
 46             104.4134845 	0.00304414003  	        0       0			
 47             109.0737035 	0.000095129376 	        0       0			
 48             113.5596461 	0.001046423135 	        0       0			
 49             110.3455312 	0.002505073567 	        0       0			
 50             112.5656207 	0.001268391679 	        0       0			
 51             121.9173145 	0.000031709792 	        0       0			
 52             117.1115797 	0.000602486048 	        0       0			
 53             113.860072  	0.000539066464 	        0       0			
 54             113.8601657 	0.00031709792  	        0       0			
 55             118.1083084 	0.00031709792  	        0       0			
 56             122.7730631 	0.0007927448   	        0       0			
 57             122.4547303 	0.000856164384 	        0       0			
 58             118.2902303 	0.004724759006 	        0       0			
 59             111.1905826 	0.00063419584  	        0       0			
 60         	122.2936847 	0.000348807712 	        0       0			
 61            	123.1425047 	0.000          	        0       0			
 62           	118.9629871 	0.000          	        0       0			
 63           	118.9639837 	0.000          	        0       0			
 64           	121.1145262 	0.000          	        0       0			
 65           	121.9481567 	0.000          	        0       0			
 66           	123.3607235 	0.000          	        0       0			
 67           	123.5527693 	0.000          	        0       0			
 68           	124.0273588 	0.000          	        0       0			
 69           	116.669828  	0.000          	        0       0			
 70           	114.3573757 	0.000          	        0       0			
 71           	114.3248357 	0.000          	        0       0			
 72            	105.3688741 	0.000          	        0       0			
 73           	114.1632823 	0.000          	        0       0			
 74           	115.0117055 	0.000          	        0       0			
 75           	115.3117819 	0.000          	        0       0			
 76           	115.8258544 	0.000          	        0       0			
 77           	115.8478066 	0.000          	        0       0			
 78           	115.8523059 	0.000          	        0       0			
 79           	116.14325   	0.000          	        0       0			
 80           	108.7048506 	0.000          	        0       0			
 81           	107.4157059 	0.000          	        0       0			
 82           	111.6826597 	0.000          	        0       0			
 83            	114.4052897 	0.000          	        0       0			
 84           	108.9791985 	0.000          	        0       0			
 85           	106.8460188 	0.000          	        0       0			
 86           	123.6782759 	0.000          	        0       0			
 87            	115.1316722 	0.000          	        0       0			
 88            	114.7865544 	0.000          	        0       0			
 89            	116.8854141 	0.000          	        0       0			
 90            	116.9424341 	0.000          	        0       0			
 91            	117.7715434 	0.000          	        0       0			
 92             116.309939  	0.000          	        0       0			
 93            	118.836681  	0.000          	        0       0			
 94            	119.3056465 	0.000          	        0       0			
 95            	121.0508823 	0.000          	        0       0			
 96            	121.4576682 	0.000          	        0       0			
 97            	122.3023414 	0.000          	        0       0			
