# Paper Link : https://www.scopus.com/pages/publications/84896066044

param: nodes:            E        	D      	    P   pmax:=         
 110             	111.9767081 	0.000             0     0	                
 111             	112.3345493 	0.000             0     0	                
 16              	121.1107905 	0.000             0     0	                
 17              	114.4140771 	0.000             0     0	                
 19              	118.5751624 	0.000             0     0	                
 21              	122.5349305 	0.00015854896     0     0	                
 210             	121.1519426 	0.000507356672    0     0	                
 211             	113.6279958 	0.002885591071    0     0	                
 212             	114.7471658 	0.002346524607    0     0	                
 213             	121.1704421 	0.002600202943    0     0	                
 214             	124.2994124 	0.001078132927    0     0	                
 215             	111.2380067 	0.001395230847    0     0	                
 216             	111.8527703 	0.000761035008    0     0	                
 217             	124.1455101 	0.000380517504    0     0	                
 218             	107.6377755 	0.00063419584     0     0	                
 219             	119.2705056 	0.001078132927    0     0	                
 22              	115.930969  	0.000761035008    0     0	                
 220             	120.0295086 	0.001078132927    0     0	                
 221             	109.9031425 	0.001902587519    0     0	                
 222             	107.371149  	0.00063419584     0     0	                
 223             	122.7995796 	0.002441653983    0     0	                
 224             	122.5033214 	0.00031709792     0     0	                
 225             	121.8901361 	0.000887874176    0     0	                
 226             	109.1904968 	0.000761035008    0     0	                
 227             	114.1359827 	0.001585489599    0     0	                
 228             	115.3484088 	0.0007927448      0     0	                
 229             	117.8208288 	0.002029426687    0     0	                
 23              	109.326126  	0.001204972095    0     0	                
 230             	106.013688  	0.001395230847    0     0	                
 231             	113.9824402 	0.000507356672    0     0	                
 232             	123.227886  	0.000856164384    0     0	                
 233             	124.3623443 	0.000031709792    0     0	                
 234             	121.9713736 	0.001870877727    0     0	                
 235             	118.6451216 	0.000887874176    0     0	                
 236             	116.411171  	0.001490360223    0     0	                
 237             	117.8177135 	0.001363521055    0     0	                
 238             	116.9711318 	0.000539066464    0     0	                
 239             	120.9961349 	0.00031709792     0     0	                
 24              	108.178794  	0.000887874176    0     0	                
 240             	115.729459  	0.00031709792     0     0	                
 241             	119.216174  	0.000380517504    0     0	                
 243             	115.8560663 	0.002156265855    0     0	                
 244             	107.0913833 	0.000031709792    0     0	                
 245             	119.8894593 	0.001046423135    0     0	                
 246             	105.3640216 	0.000528848864    0     0	                
 247             	104.4134845 	0.00304414003     0     0	                
 248             	109.0737035 	0.000095129376    0     0	                
 249             	113.5596461 	0.001046423135    0     0	                
 25              	110.3455312 	0.002505073567    0     0	                
 250             	112.5656207 	0.001268391679    0     0	                
 251             	121.9173145 	0.000031709792    0     0	                
