# Paper Link: https://ascelibrary.org/doi/10.1061/%28ASCE%29WR.1943-5452.0000419 
# need Chlorine mass balance constraint 

param: nodes:           E        	D      		P     pmax:=         
1               	25          	24.510000   	25     0           
2               	25          	34.730000   	25     0           
3               	25          	58.810000   	25     0           
4               	25          	77.970000   	25     0           
5               	25          	17.120000   	25     0           
6               	25          	31.010000   	25     0           
7               	25          	30.670000   	25     0           
8               	25          	25.580000   	25     0           
9               	25          	15.470000   	25     0           
10              	25          	30.890000   	25     0           
11              	25          	34.590000   	25     0           
12              	25          	96.220000   	25     0           
13              	25          	29.690000   	25     0           
14              	25          	38.230000   	25     0           
15              	25          	98.640000   	25     0           
16              	25          	68.230000   	25     0           
17              	25          	34.760000   	25     0           
18              	25          	86.730000   	25     0           
19              	25          	47.110000   	25     0           
20              	25          	72.680000   	25     0           
21              	25          	92.700000   	25     0           
22              	25          	57.360000   	25     0           
23              	25          	4.640000    	25     0           
24              	25          	18.260000   	25     0           
25              	25          	47.860000   	25     0           
26              	25          	0.000000    	25     0           
27              	25          	105.320000  	25     0           
28              	50          	0.0             0      0;

set Source:= 28;

param:arcs:              	L         	vmax:=
3               2               478.0000    	0.0000      
3               1               830.0000    	0.0000      
4               3               1030.0000   	0.0000      
25              11              679.0000    	0.0000      
6               17              830.0000    	0.0000      
26              6               508.0000    	0.0000      
26              4               1416.0000   	0.0000      
2               8               593.0000    	0.0000      
3               9               553.0000    	0.0000      
8               7               505.0000    	0.0000      
9               8               454.0000    	0.0000      
17              11              1095.0000   	0.0000      
9               10              392.0000    	0.0000      
12              10              1124.0000   	0.0000      
15              16              1025.0000   	0.0000      
12              15              1125.0000   	0.0000      
14              15              1003.0000   	0.0000      
13              14              954.0000    	0.0000      
13              12              1200.0000   	0.0000      
26              13              435.0000    	0.0000      
20              19              543.0000    	0.0000      
27              20              740.0000    	0.0000      
21              20              988.0000    	0.0000      
15              21              1859.0000   	0.0000      
22              21              405.0000    	0.0000      
19              18              467.0000    	0.0000      
6               23              543.0000    	0.0000      
23              24              721.0000    	0.0000      
24              25              882.0000    	0.0000      
6               25              966.0000    	0.0000      
25              5               635.0000    	0.0000      
26              28              2013.0000   	0.0000      
22              14              1000        	0           
27              16              1000        	0           ;

param: pipes:      d         C       R :=
 1        0.150     1115     130
 2        0.200     1600     130
 3        0.250     2154     130
 4        0.300     2780     130
 5        0.350     3475     130
 6        0.400     4255     130
 7        0.450     5172     130
 8        0.500     6092     130
 9        0.600     8189     130
10        0.700    10670     130
11        0.750    11874     130
12        0.800    13261     130
13        0.900    16151     130
14        1.000    19395     130 ;


