################################################################################
# Two Reservoir Network (TRN)
################################################################################

param: nodes:         E             D                P              pmax :=
       1          365.76      -0.13698000          0              0
       2          320.04       0.01262000         28.18          0
       3          326.14       0.01262000         17.61          0
       4          332.23       0.00000000         17.61          0
       5          371.86      -0.11355000          0              0
       6          298.70       0.01893000         35.22          0
       7          295.66       0.01893000         35.22          0
       8          292.61       0.01893000         35.22          0
       9          289.56       0.01262000         35.22          0
      10          289.56       0.01893000         35.22          0
      11          292.61       0.01893000         35.22          0
      12          289.56       0.01262000         35.22          0 ;

################################################################################
# Pipe data
################################################################################

param: arcs:                         L         	      exdiam	exroughness	 vmax :=
       1        2                    4828             0.356	75		 2.0
       5        4                    6437             0.254	80		 2.0
       2        6                    1609             0.254	80	 	 2.0
       2        3                    1609             0.254	80		 2.0
       3        4                    1609             0.254	80		 2.0
       6        7                    1609             0.203	80		 2.0
       6        9                    1609             0.254	100		 2.0
       7       10                    1609             0.102	80		 2.0
       9       10                    1609             0.203	100		 2.0
       4        8                    1609             0.0001	100		 2.0
       7        8                    1609             0.0001	120		 2.0
       8       11                    1609             0.0001	120		 2.0
      10       11                    1609             0.0001	120		 2.0
      11       12                    1609             0.0001	120		 2.0;
#       1        2                    4828             0.0001	120		 2.0
#       5        4                    6437             0.0001	120		 2.0
#       2        6                    1609             0.0001	120		 2.0 ;

################################################################################
# Reservoirs
################################################################################

set Source := 1 5 ;

################################################################################
# Diameter options
# d = diameter (m)
# C = unit cost ($/m)
# R = Hazen-Williams coefficient
################################################################################

param: pipes:     d           C       	 R	C_clean :=
       1          0.152       49.54      120	47.57
       2          0.203       63.32      120	51.51
       3          0.254       94.82      120	55.12
       4          0.305      132.87      120	58.07
       5          0.356      170.93      120	60.70
       6          0.407      194.88      120	63.00
       7          0.458      232.94      120	0.0
       8          0.509      264.10      120 	0.0;

################################################################################
# Cleaning options (for existing pipes)
################################################################################

#param: cleanpipes:       d            C          R :=
#           1          0.152       47.57      120
#           2          0.203       51.51      120
#           3          0.254       55.12      120
#           4          0.305       58.07      120
#           5          0.356       60.70      120
#           6          0.407       63.00      120 ;
