###########################################################################################
# PARAMETERS' DEFINITION FOR THE GOYANG NETWORK
# Source: Kim et al. [67], referenced in Water 2022, 14(6), 851
# GoYang water network, South Korea
# 30 pipes, 22 nodes (including 1 reservoir), 9 loops
# Single fixed pump of 4.52 kW from a 71 m constant head reservoir (Node 1)
# Hazen-Williams coefficient C = 100 for all pipes
# Minimum pressure head = 15 m above ground level

# Reference paper : https://www.tandfonline.com/doi/full/10.1080/03052150500467430
###########################################################################################

# Node's parameters: elevation (m), demand (m^3/d), minimum pressure (m), maximum pressure (m)
# Demands converted from m^3/d to m^3/s (divided by 86400)
# Node 1 is the reservoir with fixed head = 71.0 m, no demand
param: nodes:         E             D          P      pmax :=
       1             86.61      0.0          0      0
       2             56.4      0.0017708333         15      0
       3             53.8      0.0008159722         15      0
       4             54.9      0.0006770833         15      0
       5             56.0      0.0008680556         15      0
       6             57.0      0.0007812500         15      0
       7             53.9      0.0007291667         15      0
       8             54.5      0.0005555556         15      0
       9             57.9      0.0004861111         15      0
      10             62.1      0.0003472222         15      0
      11             62.8      0.0004861111         15      0
      12             58.6      0.0004340278         15      0
      13             59.3      0.0004340278         15      0
      14             59.8      0.0007291667         15      0
      15             59.2      0.0051562500         15      0
      16             53.6      0.0012500000         15      0
      17             54.8      0.0009201389         15      0
      18             55.1      0.0006423611         15      0
      19             54.2      0.0013715278         15      0
      20             54.5      0.0014409722         15      0
      21             62.9      0.0003645833         15      0
      22             61.8      0.0092534722         15      0 ;
#param: nodes:         E             D          P      pmax :=
#       1             71.0      0.0          0      0
#       2             0      0.0017708333         15      0
#       3             0      0.0008159722         15      0
#       4             0      0.0006770833         15      0
#       5             0      0.0008680556         15      0
#       6             0      0.0007812500         15      0
#       7             0      0.0007291667         15      0
#       8             0      0.0005555556         15      0
#       9             0      0.0004861111         15      0
#      10             0      0.0003472222         15      0
#      11             0      0.0004861111         15      0
#      12             0      0.0004340278         15      0
#      13             0      0.0004340278         15      0
#      14             0      0.0007291667         15      0
#      15             0      0.0051562500         15      0
#      16             0      0.0012500000         15      0
#      17             0      0.0009201389         15      0
#      18             0      0.0006423611         15      0
#      19             0      0.0013715278         15      0
#      20             0      0.0014409722         15      0
#      21             0      0.0003645833         15      0
#      22             0      0.0092534722         15      0 ;


# Pipe's parameters: start node, end node, length (m)
# Diameters are decision variables chosen from the candidate set below (Table 10)
# From Table A6
param: arcs:                             L    vmax:=
        1              2              165       2
        2              3              124       2
        3              4              118       2
        4              5               81       2
        5              6              134       2
        6             12              135       2
       12             15              202       2
        2             22              135       2
        2             21              170       2
       21             22              113       2
       22             20              335       2
       20             19              115       2
        2             19              345       2
       19             17              114       2
        3             16              103       2
       16             17              261       2
       17             18               72       2
        7             18              373       2
        3              7               98       2
        7              8              110       2
        4              8               98       2
        8              9              246       2
        5             11              174       2
       10             11              102       2
        6             10               92       2
        6              9              100       2
       10             13              130       2
       12             13               90       2
       13             14              185       2
       15             14               90       2 ;

set Source := 1 ;
#param H_source := 71.0 ;

#param dmin := 0.080;
#param dmax := 0.350;

# Candidate pipe diameters (m), Hazen-Williams R = 100, unit cost in Won/m
param: pipes:       d                     R              C :=
       1            0.080                100         37890
       2            0.100                100         38933
       3            0.125                100         40563
       4            0.150                100         42554
       5            0.200                100         47624
       6            0.250                100         54125
       7            0.300                100         62109
       8            0.350                100         71524 ;
