

###########################################################################################
# PARAMETERS' DEFINITION FOR THE KADU NETWORK
###########################################################################################
#Kadu, M. S., Gupta, R., and Bhave, P. R. (2008). “Optimal design of water networks using a modified
#genetic algorithm with reduction in search space.” Journal of Water Resources Planning and
#Management, 134(2), 147–160.


# Node's parameters: elevation, water demand (converted to m³/s), minimum pressure, maximum pressure

param: nodes:       E        D          P     pmax :=
 1               100     0           0     0
 2                95     0           0     0
 3                85     0.3067     0     0
 4                85     0.0750     0     0
 5                85     0.1083     0     0
 6                85     0.0700     0     0
 7                85     0.0517     0     0
 8                82     0.1033     0     0
 9                85     0.1417     0     0
10               85     0.1917     0     0
11               85     0.1367     0     0
12               85     0.2267     0     0
13               82     0.2467     0     0
14               82     0.1767     0     0
15               82     0.1750     0     0
16               82     0.1500     0     0
17               82     0.1133     0     0
18               85     0.0567     0     0
19               82     0.0767     0     0
20               82     0.1767     0     0
21               82     0.2100     0     0
22               80     0.0900     0     0
23               80     0.0333     0     0
24               80     0.0750     0     0
25               80     0.0583     0     0
26               80     0.0367     0     0 ;

param: arcs:    L       vmax :=
1  3    300     2.0
3  4    820     2.0
4  5    940     2.0
5  6    730     2.0
6  7   1620     2.0
7  8    600     2.0
4  9    800     2.0
6  10   1400     2.0
8  13   1175     2.0
8  14    750     2.0
2  14    210     2.0
9  10    700     2.0
10  11    310     2.0
11  12    500     2.0
12  13   1960     2.0
9   15    900     2.0
15  18    850     2.0
10  19    650     2.0
13  20    760     2.0
13  16   1100     2.0
14  17    660     2.0
19  20   1170     2.0
20  21    980     2.0
16  21    670     2.0
17  21   1080     2.0
18  23    750     2.0
19  24    900     2.0
20  25    650     2.0
21  26   1540     2.0
17  22    730     2.0
23  24   1170     2.0
24  25   1650     2.0
25  26   1320     2.0
22  26   3250     2.0 ;


#param: arcs:    L       vmax :=
# 1   1  3    300     2.0
# 2   3  4    820     2.0
# 3   4  5    940     2.0
# 4   5  6    730     2.0
# 5   6  7   1620     2.0
# 6   7  8    600     2.0
# 7   4  9    800     2.0
# 8   6  11   1400     2.0
# 9   8  13   1175     2.0
#10   8  14    750     2.0
#11   2  14    210     2.0
#12   9  10    700     2.0
#13   10  11    310     2.0
#14   11  12    500     2.0
#15   12  13   1960     2.0
#16   9   15    900     2.0
#17   15  18    850     2.0
#18   10  19    650     2.0
#19   13  20    760     2.0
#20   13  16   1100     2.0
#21   14  17    660     2.0
#22   19  20   1170     2.0
#23   20  21    980     2.0
#24   16  21    670     2.0
#25   17  21   1080     2.0
#26   18  23    750     2.0
#27   19  24    900     2.0
#28   20  25    650     2.0
#29   21  26   1540     2.0
#30   17  22    730     2.0
#31   23  24   1170     2.0
#32   24  25   1650     2.0
#33   25  26   1320     2.0
#34   22  26   3250     2.0 ;

# Available pipe diameters (converted mm to meters), C = cost in rupees, R = assumed Hazen-Williams coefficient = 130

param: pipes:      d         C       R :=
 1        0.150     1115     130
 2        0.200     1600     130
 3        0.250     2154     130
 4        0.300     2780     130
 5        0.350     3475     130
 6        0.400     4255     130
 7        0.450     5172     130
 8        0.500     6092     130
 9        0.600     8189     130
10        0.700    10670     130
11        0.750    11874     130
12        0.800    13261     130
13        0.900    16151     130
14        1.000    19395     130 ;

# Source node
set Source:= 1 2 ;
