param: nodes: E    D          P     pmax:=       
1    652.5768    0.00328763 	30	62.99
2    649.8336    0.0031911	30	65.73
3    646.4808    0.00162583 	30	69.09
4    656.3868    0.00087317 	30	59.18
5    652.7292    0.00338479 	30	62.84
6    648.9192    0.00326366 	30	66.65
7    648.3096    0.01265463 	30	67.26
8    648.3096    0.00071607 	30	67.26
9    642.9756    0.00067948 	30	72.59
10    646.4808    0.00328763	30	69.09
11    651.9672    0.0063576 	30	63.60
12    643.128    0.00171038 	30	72.44
13    651.2052    0.0063576 	30	64.36
14    653.1864    0.00162583	30	62.38
15    653.6436    0.00325167	30	61.92
16    655.0152    0.00328763	30	60.55
17    642.8232    0.00065488	30	72.74
18    653.4912    0.0065393 	30	62.08
19    655.1676    0.00328763	30	60.40
20    652.272    0.00069147 	30	63.29
21    652.7292    0.00323968	30	62.84
22    653.4912    0.00074005	30	62.08
23    657.3012    0.00325167	30	58.27
24    663.8544    0.00646675	30	51.71
25    645.5664    0.00325167	30	70.00
26    639.9276    0.00331224	30	75.64
27    640.6896    0.00321508	30	74.88
28    639.6228    0.00161385	30	75.94
29    646.176    0.00264474 	30	69.39
30    647.0904    0.00323968	30	68.48
0     715.56     0            56.28 	56.28 ;


param: arcs:  L            vmax :=
0     1     415.4438          2
0     4      59.1314          2
1     2     558.3954          2
1     8      46.0249          2
2     3     270.6633          2
2    11      47.2442          2
2    13      94.1835          2
3    17     213.0559          2
3    18     350.8260          2
4     5     334.6715          2
5     6     176.1750          2
5    21     186.2334          2
6     7      28.9561          2
7     8     127.7116          2
7    29      63.3986          2
8    30      33.5280          2
9    10     137.4605          	2
9    12      17.9832          2
9    25     126.7968          2
11   15      92.3544          2
12   11     250.8679          2
13   14     233.5882          2
14   23     116.4336          2
15   16     231.0758          	2
15   17     307.5364          2
18   19     312.7730          2
18   24     360.0168          2
21   20      34.4424          2
22   13     213.7656  		2 
23   22     106.9835          2
24   19     294.8136          2
26    9      82.5910          2
26   27      96.6216          2
26   28     129.2290          2
29   26     222.5040          2
;


param d_min := 0.0254; # minimum diameter (should match the minimum discrete diameter)
param d_max := 0.6096; # maximum diameter (should match the maximum discrete diameter)
#param d:= 0.0005;   # DO NOT CHANGE
#param p:=1.852;      # DO NOT CHANGE
set Source:= 0 ;  # source nodes


param: pipes:             d                C          R:=
1			0.0254		0.52    120
2			0.0508		2.10    120 
3			0.0762		4.72    120 
4			0.1016		8.40    120 
5			0.1524		18.90    120 
6			0.2032		33.60    120 
7			0.2540		52.50    120 
8			0.3048		75.59    120 
9			0.3556		102.89    120 
10			0.4064		134.39    120 
11			0.4572		170.09    120 
12			0.5080		209.98    120 
13			0.5588		254.08    120 
14			0.6096		302.37    120  ;

param: fixarcs:       fixdiam           fix_r   fix_c:=
5         21         0.1524          120     18.90 
9         10         0.1524          120     18.90 
9         25         0.1524          120     18.90 
11        15         0.3048          120     75.59
13        14         0.2032          120     33.60
15        16         0.2540          120     52.50 
22        13         0.1524          120     18.90
23        22         0.1524          120     18.90
24        19         0.1524          120     18.90
26        27         0.1524          120     18.90
26        28         0.1524          120     18.90
29        26         0.1524          120     18.90;

